,0
757,597
758,1121
759,733
760,611
761,609
762,730
763,659
764,1345
765,610
766,609
767,556
768,601
769,764
770,562
771,862
772,777
773,1121
774,654
775,731
776,1024
777,5558
778,2526
779,3283
780,1202
781,698
782,633
783,1121
784,606
785,555
786,957
787,588
788,618
789,637
790,708
791,609
792,638
793,733
794,1345
795,757
796,5558
797,731
798,627
799,4113
800,555
801,609
802,603
803,477
804,823
805,722
806,564
807,757
808,1445
809,872
810,733
811,834
812,555
813,725
814,617
815,642
816,609
817,683
818,1414
819,577
820,902
821,609
822,591
823,2346
824,648
825,2700
826,5558
827,677
828,863
829,603
830,1146
831,630
832,1121
833,753
834,576
835,5558
836,731
837,731
838,816
839,1121
840,631
841,699
842,731
843,5558
844,1122
845,982
846,733
847,2240
848,1106
849,622
850,554
851,834
852,650
853,872
854,731
855,460
856,637
857,631
858,2227
859,627
860,597
861,5558
862,1121
863,577
864,622
865,581
866,663
867,1414
868,3887
869,637
870,707
871,649
872,659
873,460
874,635
875,629
876,637
877,617
878,1064
879,611
880,717
881,663
882,889
883,598
884,680
885,580
886,731
887,703
888,615
889,703
890,788
891,793
892,643
893,769
894,662
895,602
896,787
897,733
898,733
899,751
900,731
901,580
902,1121
903,853
904,619
905,723
906,933
907,630
908,662
909,647
910,580
911,641
912,631
913,625
914,5946
915,1121
916,647
917,579
918,589
919,5558
920,657
921,580
922,3283
923,1340
924,641
925,1059
926,633
927,735
928,1155
929,622
930,671
931,644
932,656
933,651
934,5558
935,660
936,693
937,603
938,595
939,664
940,634
941,731
942,5558
943,622
944,5558
945,575
946,662
947,677
948,631
949,733
950,801
951,1053
952,653
953,512
954,653
955,597
956,555
957,582
958,627
959,731
960,523
961,5558
962,661
963,731
964,652
965,5558
966,609
967,1249
968,3152
969,1012
970,5558
971,5470
972,594
973,616
974,736
975,1121
976,2188
977,665
978,5558
979,639
980,648
981,565
982,637
983,609
984,612
985,5558
986,662
987,801
988,602
989,486
990,640
991,609
992,997
993,644
994,825
995,1121
996,624
997,1053
998,664
999,566
1000,4324
1001,587
1002,580
1003,686
1004,467
1005,5558
1006,1121
1007,716
1008,1345
1009,668
1010,602
1011,5558
1012,5558
1013,1017
1014,1088
1015,587
1016,636
1017,825
1018,710
1019,1047
1020,5957
1021,640
1022,662
1023,823
1024,637
1025,801
1026,738
1027,708
1028,806
1029,642
1030,3887
1031,662
1032,712
1033,648
1034,647
1035,1396
1036,734
1037,614
1038,623
1039,1345
1040,662
1041,619
1042,3337
1043,5558
1044,670
1045,670
1046,2143
1047,982
1048,561
1049,479
1050,769
1051,672
1052,625
1053,731
1054,602
1055,806
1056,1043
1057,622
1058,573
1059,739
1060,569
1061,687
1062,479
1063,862
1064,806
1065,872
1066,1121
1067,801
1068,662
1069,653
1070,608
1071,5558
1072,630
1073,1121
1074,636
1075,630
1076,2139
1077,583
1078,1121
1079,626
1080,830
1081,2240
1082,733
1083,628
1084,733
1085,761
1086,609
1087,801
1088,2346
1089,609
1090,752
1091,5558
1092,634
1093,554
1094,609
1095,790
1096,563
1097,578
1098,609
1099,579
1100,622
1101,731
1102,766
1103,607
1104,664
1105,591
1106,650
1107,766
1108,731
1109,609
1110,1121
1111,5558
1112,707
1113,520
1114,796
1115,877
1116,731
1117,853
1118,788
1119,1316
1120,731
1121,872
1122,881
1123,733
1124,555
1125,741
1126,694
1127,1121
1128,598
1129,659
1130,648
1131,806
1132,5558
1133,731
1134,636
1135,566
1136,587
1137,796
1138,739
1139,625
1140,5867
1141,744
1142,652
1143,5470
1144,555
1145,1466
1146,976
1147,609
1148,731
1149,586
1150,644
1151,1121
1152,1345
1153,738
1154,5503
1155,5558
1156,644
1157,636
1158,731
1159,677
1160,612
1161,2526
1162,3984
1163,596
1164,580
1165,853
1166,1121
1167,583
1168,2199
1169,548
1170,562
1171,569
1172,731
1173,582
1174,606
1175,622
1176,580
1177,2139
1178,703
1179,1121
1180,558
1181,629
1182,602
1183,637
1184,1113
1185,649
1186,650
1187,5503
1188,739
1189,734
1190,648
1191,731
1192,693
1193,609
1194,853
1195,460
1196,614
1197,625
1198,5558
1199,615
1200,624
1201,609
1202,609
1203,750
1204,651
1205,679
1206,807
1207,597
1208,5867
1209,2526
1210,1136
1211,554
1212,655
1213,644
1214,650
1215,609
1216,5503
1217,1074
1218,554
1219,760
1220,747
1221,769
1222,648
1223,5558
1224,662
1225,670
1226,733
1227,607
1228,686
1229,860
1230,872
1231,739
1232,1399
1233,731
1234,762
1235,1114
1236,613
1237,731
1238,708
1239,565
1240,731
1241,753
1242,751
1243,652
1244,595
1245,630
1246,728
1247,731
1248,650
1249,2724
1250,733
1251,900
1252,566
1253,733
1254,607
1255,662
1256,801
1257,667
1258,611
1259,609
1260,649
1261,648
1262,739
1263,658
1264,609
1265,557
1266,1140
1267,637
1268,650
1269,574
1270,617
1271,645
1272,1121
1273,1400
1274,644
1275,805
1276,731
1277,691
1278,731
1279,458
1280,3887
1281,772
1282,1076
1283,732
1284,611
1285,801
1286,693
1287,980
1288,631
1289,609
1290,667
1291,592
1292,1086
1293,720
1294,662
1295,686
1296,733
1297,647
1298,841
1299,733
1300,454
1301,1414
1302,1121
1303,574
1304,662
1305,626
1306,577
1307,1027
1308,690
1309,5503
1310,5503
1311,5558
1312,860
1313,806
1314,753
1315,2139
1316,609
1317,595
1318,650
1319,626
1320,589
1321,584
1322,739
1323,733
1324,555
1325,879
1326,662
1327,630
1328,630
1329,2242
1330,565
1331,644
1332,574
1333,2143
1334,609
1335,1190
1336,647
1337,1206
1338,834
1339,609
1340,600
1341,5503
1342,832
1343,5558
1344,1121
1345,5558
1346,719
1347,587
1348,1345
1349,648
1350,580
1351,738
1352,655
1353,613
1354,602
1355,662
1356,909
1357,733
1358,612
1359,5558
1360,586
1361,999
1362,555
1363,731
1364,5558
1365,632
1366,557
1367,580
1368,660
1369,733
1370,622
1371,598
1372,684
1373,1812
1374,2242
1375,1121
1376,703
1377,489
1378,693
1379,633
1380,1345
1381,647
1382,1345
1383,448
1384,5558
1385,753
1386,1121
1387,619
1388,563
1389,720
1390,731
1391,760
1392,1331
1393,476
1394,609
1395,801
1396,597
1397,593
1398,5558
1399,626
1400,583
1401,5558
1402,627
1403,5558
1404,677
1405,1121
1406,731
1407,753
1408,900
1409,1039
1410,733
1411,720
1412,609
1413,960
1414,759
1415,757
1416,655
1417,649
1418,731
1419,881
1420,843
1421,5470
1422,733
1423,578
1424,606
1425,642
1426,606
1427,740
1428,2346
1429,778
1430,618
1431,796
1432,558
1433,556
1434,780
1435,3887
1436,669
1437,638
1438,3887
1439,631
1440,634
1441,5558
1442,637
1443,594
1444,712
1445,608
1446,853
1447,591
1448,693
1449,615
1450,587
1451,578
1452,5558
1453,614
1454,460
1455,1121
1456,801
1457,647
1458,783
1459,739
1460,5470
1461,5558
1462,468
1463,4888
1464,663
1465,532
1466,631
1467,486
1468,796
1469,665
1470,612
1471,601
1472,5503
1473,648
1474,622
1475,626
1476,806
1477,731
1478,578
1479,1101
1480,731
1481,5558
1482,1068
1483,652
1484,1345
1485,602
1486,641
1487,980
1488,551
1489,872
1490,731
1491,5558
1492,589
1493,618
1494,872
1495,653
1496,662
1497,5558
1498,600
1499,535
1500,5558
1501,1121
1502,1386
1503,573
1504,1755
1505,472
1506,5503
1507,625
1508,647
1509,654
1510,555
1511,583
1512,626
1513,615
1514,773
1515,647
1516,543
1517,631
1518,632
1519,812
1520,676
1521,5558
1522,609
1523,1121
1524,902
1525,5558
1526,740
1527,5558
1528,582
1529,609
1530,513
1531,1086
1532,722
1533,1121
1534,1345
1535,611
1536,644
1537,631
1538,2346
1539,738
1540,5503
1541,555
1542,2143
1543,1398
1544,598
1545,635
1546,619
1547,609
1548,5558
1549,638
1550,653
1551,550
1552,609
1553,633
1554,609
1555,511
1556,801
1557,625
1558,5558
1559,611
1560,638
1561,655
1562,592
1563,582
1564,853
1565,728
1566,834
1567,724
1568,656
1569,872
1570,714
1571,716
1572,5558
1573,696
1574,745
1575,638
1576,563
1577,585
1578,555
1579,733
1580,731
1581,563
1582,2139
1583,5558
1584,872
1585,579
1586,707
1587,619
1588,632
1589,624
1590,1263
1591,894
1592,731
1593,1121
1594,598
1595,976
1596,5558
1597,491
1598,597
1599,856
1600,731
1601,651
1602,580
1603,642
1604,686
1605,1121
1606,974
1607,1121
1608,736
1609,3887
1610,664
1611,647
1612,779
1613,5503
1614,598
1615,708
1616,5558
1617,618
1618,733
1619,593
1620,662
1621,5558
1622,636
1623,630
1624,622
1625,5558
1626,711
1627,625
1628,4325
1629,516
1630,2139
1631,653
1632,883
1633,580
1634,1157
1635,5558
1636,580
1637,658
1638,5558
1639,747
1640,713
1641,609
1642,982
1643,611
1644,613
1645,1689
1646,5503
1647,612
1648,641
1649,622
1650,731
1651,633
1652,806
1653,602
1654,580
1655,609
1656,5558
1657,3887
1658,835
1659,733
1660,2864
1661,731
1662,682
1663,5558
1664,651
1665,773
1666,584
1667,587
1668,635
1669,753
1670,760
1671,567
1672,626
1673,2143
1674,609
1675,662
1676,662
1677,615
1678,5503
1679,1347
1680,1075
1681,614
1682,624
1683,577
1684,3887
1685,2139
1686,628
1687,741
1688,556
1689,635
1690,731
1691,823
1692,552
1693,697
1694,556
1695,647
1696,851
1697,609
1698,555
1699,5558
1700,659
1701,600
1702,588
1703,674
1704,1121
1705,753
1706,5558
1707,1121
1708,646
1709,656
1710,620
1711,573
1712,652
1713,653
1714,731
1715,661
1716,646
1717,668
1718,561
1719,731
1720,573
1721,731
1722,624
1723,788
1724,486
1725,563
1726,5558
1727,733
1728,662
1729,649
1730,653
1731,793
1732,993
1733,2346
1734,872
1735,683
1736,989
1737,2240
1738,1121
1739,1121
1740,751
1741,601
1742,499
1743,609
1744,2051
1745,670
1746,731
1747,632
1748,662
1749,989
1750,673
1751,665
1752,881
1753,740
1754,563
1755,580
1756,3841
1757,731
1758,561
1759,921
1760,510
1761,623
1762,665
1763,806
1764,609
1765,582
1766,598
1767,933
1768,647
1769,606
1770,612
1771,731
1772,609
1773,4113
1774,590
1775,5558
1776,599
1777,731
1778,679
1779,546
1780,646
1781,853
1782,5558
1783,5558
1784,594
1785,694
1786,731
1787,502
1788,1833
1789,1121
1790,693
1791,622
1792,672
1793,1314
1794,584
1795,693
1796,964
1797,2346
1798,544
1799,730
1800,5558
1801,900
1802,591
1803,900
1804,612
1805,653
1806,5503
1807,639
1808,556
1809,575
1810,557
1811,783
1812,725
1813,478
1814,5558
1815,731
1816,617
1817,838
1818,607
1819,908
1820,627
1821,753
1822,556
1823,469
1824,723
1825,556
1826,753
1827,746
1828,816
1829,1213
1830,472
1831,1414
1832,621
1833,5558
1834,581
1835,660
1836,635
1837,555
1838,3956
1839,728
1840,456
1841,630
1842,639
1843,672
1844,568
1845,525
1846,598
1847,1245
1848,733
1849,5558
1850,735
1851,609
1852,712
1853,857
1854,693
1855,677
1856,5558
1857,575
1858,493
1859,609
1860,558
1861,796
1862,757
1863,983
1864,2346
1865,568
1866,539
1867,556
1868,623
1869,5558
1870,731
1871,676
1872,580
1873,656
1874,618
1875,739
1876,5558
1877,543
1878,684
1879,5503
1880,608
1881,5558
1882,620
1883,682
1884,938
1885,619
1886,821
1887,592
1888,667
1889,648
1890,733
1891,792
1892,594
