,android/provider/calllog$calls NONE,smsmanager getdefault,smsmanager sendtextmessage,smsmanager createfrompdu,smsmanager getdisplaymessagebody,smsmanager getmessagebody,smsmanager getoriginatingaddress,smsmanager getuserdata,locationmanager getlastknownlocation,locationmanager requestlocationupdates,packagemanager setcomponentenabledsetting,sslhttpsurlconnection getoutputstream,reflect/accessibleobject setaccessible,urlconnection getinputstream,urlconnection getoutputstream,deviceadminreceiver NONE,images$media getcontenturi,images$media insertimage,images$media getbitmap,wifimanager getconnectioninfo,wifimanager getwifistate,jsonobject put,assetmanager getassets,video$media getcontenturi,video$media getcontentresolver,runtime exec,runtime getruntime,telephonymanager getsubscriberid,telephonymanager getline1number,telephonymanager getnetworkoperator,telephonymanager getsimoperatorname,telephonymanager getsimserialnumber,telephonymanager getcallstate,contentresolver query,contentresolver delete,uuid tostring,fileoutputstream NONE,class getdeclaredmethod,crypto/cipher dofinal,crypto/cipher getinstance,gsm/smsmanager sendtextmessage,gsm/smsmanager createfrompdu,gsm/smsmanager getdisplaymessagebody,devicepolicymanager isadminactive,devicepolicymanager locknow,activitymanager restartpackage,system load,system loadlibrary,dexclassloader loadclass,android/provider/contacts NONE,android/provider/contacts$phones NONE,context getsystemservice,mediarecorder start,mediarecorder stop,string equalsignorecase,string split,/browser$ NONE,urlclassloader NONE,android/provider/contactscontract$commondatakinds$phone NONE,audiorecord startrecording,wifiinfo getmacaddress,environment getexternalstoragedirectory,environment getexternalstoragestate,telephony/itelephony endcall,uri parse,secureclassloader NONE,audiomanager setvibratesetting,audiomanager setringermode,zipoutputstream close,httpurlconnection getoutputstream,crypto/keygenerator generateKey,client/httpclient execute,audio/media getcontenturiforpath,pendingintent getbroadcast,pendingintent abortbroadcast,client/defaulthttpclient execute,secretkeyspec NONE,
0106656ddf58e3c15d2ceff60c99664a35ab009fd5bfec32e43bc06b8f146670,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,26
0107ff03e5c18ed5c4bb03776766f8b2794aa544b18c0208f835d64a97f2cb55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
010a4ab33a4353415acba5874c979166f96f3c12437b267f0b1df359060f40f2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,28
010b6fb2255b072328b612be71e97bb62269279d13b1987593fb587a72942b8c,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,29
013bde9a7f708ecd3eef7f354a3dce8716aaae23b86b7358c197cfa485973bad,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9
01520c85db312028bed865722b95444d40ea87098b80fd240a8159b48aad8710,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,32
01529657445e7c737eb7d17a47783fea3ed3996373bc7b87861e450e7d8d8621,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,9
0194eba249bf104cead8e0a2ece024281f20781f8105e426fc63c99d1430d17b,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,17
01acca4e261f7b52de115ea6d6a83fc0b28b4cbe4b0ac2eb0ac6247f03b3cfa1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,9
01c888061f79a1a48bd1a2d1b7ed7fae6901890b21d663a599b0010b7fc82f65,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,18
