,0
799,22
800,9
801,31
802,11
803,14
804,10
805,31
806,31
807,31
808,31
809,1
810,25
811,8
812,16
813,28
814,31
815,19
816,3
817,7
818,31
819,11
820,6
821,12
822,14
823,32
824,5
825,22
826,19
827,21
828,31
829,19
830,8
831,15
832,31
833,11
834,28
835,32
836,8
837,30
838,31
839,17
840,29
841,7
842,19
843,31
844,7
845,8
846,5
847,21
848,8
849,17
850,5
851,20
852,8
853,22
854,21
855,17
856,21
857,8
858,19
859,17
860,38
861,1
862,10
863,25
864,19
865,32
866,27
867,20
868,7
869,31
870,8
871,19
872,22
873,24
874,1
875,16
876,27
877,31
878,3
879,4
880,31
881,34
882,7
883,31
884,19
885,7
886,13
887,12
888,8
889,31
890,20
891,30
892,31
893,19
894,20
895,8
896,31
897,8
898,14
899,10
900,30
901,25
902,31
903,14
904,0
905,31
906,3
907,8
908,7
909,28
910,26
911,25
912,0
913,25
914,31
915,8
916,9
917,31
918,19
919,25
920,31
921,31
922,31
923,6
924,17
925,13
926,14
927,21
928,8
929,8
930,9
931,26
932,1
933,32
934,30
935,32
936,32
937,32
938,15
939,8
940,24
941,30
942,19
943,27
944,31
945,30
946,11
947,8
948,19
949,19
950,8
951,27
952,15
953,31
954,31
955,8
956,32
957,31
958,8
959,0
960,7
961,19
962,31
963,17
964,20
965,31
966,32
967,12
968,35
969,28
970,8
971,18
972,10
973,22
974,32
975,25
976,2
977,21
978,15
979,19
980,13
981,25
982,19
983,30
984,13
985,14
986,15
987,31
988,19
989,15
990,11
991,8
992,16
993,21
994,15
995,26
996,16
997,8
998,7
999,7
1000,14
1001,21
1002,5
1003,29
1004,13
1005,8
1006,7
1007,1
1008,32
1009,30
1010,21
1011,3
1012,7
1013,19
1014,16
1015,19
1016,8
1017,11
1018,11
1019,12
1020,7
1021,33
1022,37
1023,9
1024,5
1025,3
1026,31
1027,14
1028,31
1029,33
1030,31
1031,19
1032,16
1033,1
1034,8
1035,32
1036,8
1037,31
1038,8
1039,30
1040,8
1041,31
1042,9
1043,8
1044,21
1045,31
1046,7
1047,26
1048,31
1049,19
1050,15
1051,36
1052,8
1053,33
1054,31
1055,6
1056,7
1057,8
1058,8
1059,21
1060,17
1061,13
1062,31
1063,17
1064,21
1065,25
1066,8
1067,31
1068,13
1069,11
1070,27
1071,16
1072,21
1073,31
1074,8
1075,8
1076,22
1077,7
1078,8
1079,21
1080,21
1081,18
1082,24
1083,32
1084,31
1085,8
1086,20
1087,23
1088,7
1089,7
1090,15
1091,25
1092,30
1093,20
1094,11
1095,32
1096,7
1097,31
1098,18
1099,7
1100,6
1101,30
1102,28
1103,4
1104,4
1105,8
1106,5
1107,1
1108,8
1109,19
1110,16
1111,4
1112,10
1113,33
1114,32
1115,30
1116,0
1117,8
1118,25
1119,16
1120,24
1121,30
1122,7
1123,8
1124,25
1125,13
1126,24
1127,8
1128,22
1129,20
1130,19
1131,11
1132,31
1133,16
1134,7
1135,8
1136,1
1137,21
1138,26
1139,1
1140,19
1141,7
1142,8
1143,0
1144,8
1145,8
1146,27
1147,9
1148,8
1149,18
1150,7
1151,11
1152,27
1153,29
1154,7
1155,8
1156,31
1157,33
1158,10
1159,31
1160,8
1161,9
1162,21
1163,7
1164,14
1165,31
1166,31
1167,33
1168,17
1169,31
1170,19
1171,32
1172,14
1173,8
1174,14
1175,30
1176,19
1177,14
1178,1
1179,3
1180,31
1181,4
1182,8
1183,9
1184,31
1185,24
1186,30
1187,8
1188,19
1189,28
1190,31
1191,14
1192,7
1193,30
1194,21
1195,8
1196,31
1197,31
1198,30
1199,8
1200,29
1201,14
1202,5
1203,22
1204,8
1205,30
1206,10
1207,8
1208,31
1209,9
1210,33
1211,15
1212,8
1213,8
1214,31
1215,14
1216,26
1217,8
1218,1
1219,6
1220,33
1221,3
1222,27
1223,37
1224,14
1225,17
1226,8
1227,20
1228,19
1229,19
1230,8
1231,32
1232,20
1233,15
1234,11
1235,14
1236,27
1237,31
1238,21
1239,31
1240,19
1241,18
1242,9
1243,31
1244,2
1245,8
1246,31
1247,27
1248,31
1249,19
1250,20
1251,32
1252,27
1253,7
1254,18
1255,8
1256,30
1257,31
1258,6
1259,16
1260,24
1261,18
1262,31
1263,8
1264,28
1265,31
1266,24
1267,21
1268,6
1269,8
1270,8
1271,31
1272,1
1273,18
1274,19
1275,31
1276,8
1277,22
1278,25
1279,31
1280,31
1281,25
1282,3
1283,5
1284,23
1285,10
1286,8
1287,31
1288,3
1289,27
1290,17
1291,21
1292,23
1293,25
1294,26
1295,17
1296,31
1297,9
1298,30
1299,14
1300,1
1301,7
1302,31
1303,19
1304,21
1305,33
1306,31
1307,26
1308,31
1309,11
1310,8
1311,7
1312,30
1313,16
1314,7
1315,8
1316,8
1317,31
1318,17
1319,32
1320,25
1321,7
1322,31
1323,23
1324,32
1325,10
1326,31
1327,19
1328,31
1329,19
1330,19
1331,8
1332,33
1333,13
1334,31
1335,8
1336,29
1337,32
1338,25
1339,6
1340,17
1341,19
1342,6
1343,31
1344,9
1345,26
1346,31
1347,11
1348,17
1349,31
1350,15
1351,6
1352,29
1353,31
1354,23
1355,7
1356,24
1357,28
1358,6
1359,8
1360,3
1361,24
1362,3
1363,8
1364,27
1365,30
1366,19
1367,24
1368,16
1369,8
1370,7
1371,31
1372,9
1373,23
1374,27
1375,8
1376,22
1377,31
1378,19
1379,17
1380,31
1381,8
1382,15
1383,8
1384,8
1385,32
1386,9
1387,4
1388,0
1389,12
1390,8
1391,8
1392,19
1393,8
1394,8
1395,31
1396,31
1397,27
1398,31
1399,8
1400,5
1401,8
1402,31
1403,25
1404,27
1405,31
1406,8
1407,8
1408,7
1409,12
1410,25
1411,31
1412,31
1413,11
1414,19
1415,3
1416,16
1417,27
1418,28
1419,5
1420,23
1421,33
1422,6
1423,5
1424,32
1425,21
1426,31
1427,8
1428,28
1429,31
1430,8
1431,17
1432,7
1433,7
1434,16
1435,15
1436,33
1437,21
1438,11
1439,1
1440,21
1441,16
1442,21
1443,7
1444,19
1445,17
1446,3
1447,32
1448,31
1449,22
1450,8
1451,8
1452,31
1453,8
1454,33
1455,8
1456,19
1457,29
1458,22
1459,29
1460,8
1461,8
1462,13
1463,8
1464,19
1465,22
1466,8
1467,5
1468,17
1469,8
1470,8
1471,1
1472,0
1473,32
1474,7
1475,35
1476,8
1477,31
1478,1
1479,13
1480,27
1481,29
1482,27
1483,29
1484,14
1485,19
1486,9
1487,26
1488,7
1489,8
1490,28
1491,14
1492,31
1493,3
1494,8
1495,35
1496,31
1497,15
1498,1
1499,31
1500,22
1501,31
1502,11
1503,28
1504,2
1505,4
1506,33
1507,7
1508,8
1509,26
1510,0
1511,31
1512,17
1513,11
1514,28
1515,16
1516,18
1517,8
1518,14
1519,21
1520,1
1521,17
1522,15
1523,7
1524,6
1525,28
1526,7
1527,8
1528,7
1529,5
1530,31
1531,31
1532,8
1533,7
1534,29
