,0
799,11
800,31
801,14
802,1
803,0
804,16
805,13
806,2
807,1
808,12
809,10
810,4
811,3
812,23
813,9
814,17
815,2
816,16
817,5
818,0
819,11
820,4
821,1
822,18
823,3
824,18
825,8
826,22
827,6
828,21
829,9
830,4
831,19
832,9
833,11
834,23
835,0
836,12
837,3
838,15
839,2
840,8
841,1
842,15
843,0
844,4
845,4
846,24
847,5
848,10
849,14
850,14
851,9
852,1
853,31
854,1
855,16
856,9
857,1
858,23
859,26
860,21
861,1
862,26
863,10
864,0
865,13
866,2
867,18
868,4
869,2
870,9
871,1
872,10
873,17
874,13
875,14
876,12
877,29
878,10
879,1
880,0
881,13
882,3
883,11
884,0
885,7
886,12
887,1
888,15
889,15
890,9
891,1
892,7
893,10
894,7
895,0
896,0
897,21
898,1
899,25
900,1
901,10
902,10
903,24
904,6
905,2
906,3
907,1
908,21
909,16
910,12
911,2
912,21
913,22
914,15
915,7
916,4
917,19
918,2
919,3
920,1
921,9
922,7
923,17
924,3
925,13
926,5
927,21
928,24
929,2
930,10
931,15
932,8
933,24
934,9
935,21
936,6
937,1
938,0
939,10
940,11
941,10
942,1
943,1
944,21
945,0
946,0
947,18
948,2
949,12
950,15
951,17
952,1
953,8
954,0
955,14
956,14
957,3
958,18
959,15
960,0
961,10
962,14
963,3
964,11
965,11
966,11
967,8
968,1
969,10
970,3
971,10
972,6
973,10
974,10
975,3
976,3
977,9
978,10
979,7
980,16
981,1
982,1
983,10
984,0
985,0
986,15
987,1
988,23
989,27
990,20
991,9
992,9
993,11
994,11
995,28
996,5
997,0
998,28
999,0
1000,18
1001,21
1002,0
1003,0
1004,5
1005,11
1006,4
1007,4
1008,0
1009,4
1010,21
1011,22
1012,5
1013,1
1014,1
1015,4
1016,0
1017,1
1018,12
1019,4
1020,2
1021,26
1022,17
1023,3
1024,5
1025,9
1026,10
1027,24
1028,9
1029,6
1030,22
1031,19
1032,1
1033,2
1034,24
1035,21
1036,10
1037,18
1038,5
1039,6
1040,1
1041,11
1042,33
1043,16
1044,10
1045,1
1046,7
1047,1
1048,21
1049,17
1050,12
1051,11
1052,16
1053,0
1054,21
1055,3
1056,4
1057,0
1058,10
1059,19
1060,10
1061,11
1062,28
1063,15
1064,1
1065,27
1066,15
1067,9
1068,1
1069,3
1070,9
1071,7
1072,4
1073,5
1074,35
1075,2
1076,6
1077,0
1078,1
1079,1
1080,27
1081,1
1082,1
1083,3
1084,1
1085,2
1086,4
1087,3
1088,12
1089,0
1090,11
1091,9
1092,10
1093,19
1094,3
1095,0
1096,11
1097,2
1098,9
1099,16
1100,31
1101,13
1102,4
1103,14
1104,0
1105,7
1106,19
1107,1
1108,1
1109,22
1110,1
1111,1
1112,8
1113,2
1114,1
1115,1
1116,11
1117,9
1118,9
1119,7
1120,9
1121,15
1122,9
1123,3
1124,6
1125,7
1126,14
1127,29
1128,9
1129,6
1130,6
1131,27
1132,5
1133,2
1134,0
1135,2
1136,10
1137,2
1138,27
1139,13
1140,10
1141,10
1142,2
1143,11
1144,16
1145,11
1146,6
1147,10
1148,6
1149,13
1150,14
1151,9
1152,13
1153,1
1154,15
1155,16
1156,20
1157,1
1158,20
1159,24
1160,3
1161,18
1162,11
1163,7
1164,4
1165,10
1166,10
1167,0
1168,13
1169,23
1170,4
1171,13
1172,19
1173,0
1174,2
1175,21
1176,20
1177,1
1178,1
1179,14
1180,4
1181,31
1182,16
1183,3
1184,20
1185,3
1186,11
1187,10
1188,9
1189,1
1190,4
1191,11
1192,1
1193,18
1194,16
1195,14
1196,7
1197,16
1198,8
1199,15
1200,7
1201,1
1202,14
1203,1
1204,11
1205,7
1206,36
1207,1
1208,2
1209,0
1210,1
1211,24
1212,3
1213,26
1214,7
1215,6
1216,17
1217,14
1218,17
1219,1
1220,9
1221,11
1222,6
1223,0
1224,1
1225,16
1226,12
1227,1
1228,1
1229,17
1230,11
1231,18
1232,19
1233,11
1234,10
1235,2
1236,10
1237,19
1238,2
1239,10
1240,0
1241,2
1242,14
1243,37
1244,26
1245,1
1246,9
1247,2
1248,0
1249,6
1250,1
1251,7
1252,17
1253,4
1254,7
1255,10
1256,1
1257,4
1258,2
1259,0
1260,32
1261,5
1262,5
1263,16
1264,1
1265,6
1266,21
1267,11
1268,16
1269,26
1270,21
1271,16
1272,2
1273,0
1274,1
1275,12
1276,19
1277,19
1278,11
1279,0
1280,3
1281,13
1282,0
1283,12
1284,21
1285,6
1286,0
1287,14
1288,3
1289,10
1290,9
1291,14
1292,2
1293,19
1294,1
1295,4
1296,9
1297,10
1298,4
1299,19
1300,13
1301,7
1302,6
1303,26
1304,0
1305,13
1306,17
1307,12
1308,1
1309,13
1310,6
1311,31
1312,10
1313,14
1314,21
1315,1
1316,19
1317,0
1318,3
1319,10
1320,3
1321,20
1322,2
1323,5
1324,0
1325,1
1326,8
1327,18
1328,5
1329,1
1330,22
1331,1
1332,23
1333,12
1334,3
1335,18
1336,14
1337,8
1338,28
1339,9
1340,12
1341,10
1342,5
1343,16
1344,19
1345,12
1346,11
1347,15
1348,6
1349,19
1350,12
1351,20
1352,1
1353,9
1354,8
1355,8
1356,7
1357,3
1358,20
1359,1
1360,6
1361,10
1362,14
1363,10
1364,22
1365,1
1366,17
1367,14
1368,12
1369,7
1370,5
1371,4
1372,12
1373,0
1374,24
1375,16
1376,18
1377,20
1378,11
1379,14
1380,26
1381,12
1382,1
1383,9
1384,26
1385,22
1386,6
1387,27
1388,17
1389,5
1390,5
1391,7
1392,19
1393,0
1394,15
1395,10
1396,10
1397,1
1398,13
1399,4
1400,14
1401,16
1402,15
1403,22
1404,3
1405,7
1406,2
1407,1
1408,36
1409,1
1410,26
1411,7
1412,1
1413,7
1414,22
1415,6
1416,1
1417,0
1418,3
1419,0
1420,9
1421,15
1422,12
1423,3
1424,17
1425,23
1426,23
1427,14
1428,15
1429,24
1430,1
1431,4
1432,7
1433,12
1434,7
1435,5
1436,3
1437,0
1438,2
1439,22
1440,5
1441,26
1442,18
1443,3
1444,19
1445,15
1446,3
1447,13
1448,29
1449,6
1450,23
1451,9
1452,9
1453,17
1454,11
1455,0
1456,6
1457,0
1458,10
1459,8
1460,3
1461,12
1462,0
1463,15
1464,14
1465,22
1466,16
1467,0
1468,8
1469,14
1470,10
1471,10
1472,3
1473,0
1474,9
1475,9
1476,1
1477,1
1478,3
1479,25
1480,29
1481,26
1482,5
1483,5
1484,26
1485,9
1486,26
1487,3
1488,9
1489,14
1490,6
1491,27
1492,20
1493,6
1494,2
1495,1
1496,10
1497,2
1498,0
1499,7
1500,23
1501,11
1502,0
1503,0
1504,21
1505,26
1506,24
1507,29
1508,9
1509,12
1510,7
1511,9
1512,18
1513,9
1514,3
1515,3
1516,9
1517,4
1518,19
1519,15
1520,8
1521,11
1522,0
1523,3
1524,19
1525,3
1526,3
1527,26
1528,11
1529,16
1530,6
1531,0
1532,4
1533,1
1534,3
1535,18
1536,5
1537,2
1538,8
1539,10
1540,15
1541,4
1542,27
1543,12
1544,1
1545,18
1546,1
1547,14
1548,16
1549,23
1550,10
1551,10
1552,5
1553,6
1554,18
1555,19
1556,15
1557,15
1558,0
1559,1
1560,3
1561,7
1562,14
1563,4
1564,13
1565,2
1566,22
1567,26
1568,11
1569,2
1570,0
1571,12
1572,1
1573,9
1574,13
1575,1
1576,0
1577,1
1578,0
1579,23
1580,0
1581,2
1582,12
1583,18
1584,1
1585,16
1586,18
1587,10
1588,27
1589,6
1590,16
1591,5
1592,2
1593,4
1594,26
1595,7
1596,10
1597,11
1598,28
1599,25
1600,14
1601,21
1602,9
1603,1
1604,3
1605,2
1606,13
1607,15
1608,4
1609,25
1610,1
1611,0
1612,23
1613,17
1614,0
1615,7
1616,16
1617,16
1618,4
1619,17
1620,26
1621,22
1622,3
1623,10
1624,3
1625,1
1626,3
1627,27
1628,2
1629,6
1630,0
1631,23
1632,2
1633,0
1634,11
1635,8
1636,6
1637,10
1638,4
1639,12
1640,11
1641,18
1642,23
1643,15
1644,11
1645,26
1646,5
1647,9
1648,9
1649,11
1650,3
1651,5
1652,3
1653,5
1654,9
1655,11
1656,10
1657,0
1658,9
1659,5
1660,8
1661,24
1662,8
1663,20
1664,0
1665,8
1666,0
1667,4
1668,30
1669,0
1670,21
1671,1
1672,20
1673,24
1674,4
1675,11
1676,16
1677,3
1678,20
1679,32
1680,12
1681,1
1682,11
1683,1
1684,2
1685,10
1686,9
1687,0
1688,10
1689,9
1690,23
1691,1
1692,17
1693,1
1694,26
1695,3
1696,4
1697,0
1698,14
1699,17
1700,6
1701,31
1702,17
1703,12
1704,1
1705,9
1706,11
1707,13
1708,4
1709,22
1710,30
1711,9
1712,18
1713,1
1714,26
1715,18
1716,2
1717,1
1718,12
1719,16
1720,26
1721,1
1722,16
1723,7
1724,27
1725,10
1726,0
1727,1
1728,1
1729,9
1730,1
1731,13
1732,1
1733,0
1734,9
1735,24
1736,1
1737,1
1738,6
1739,1
1740,1
1741,4
1742,14
1743,1
1744,20
1745,19
1746,12
1747,22
1748,12
1749,9
1750,3
1751,4
1752,9
1753,19
1754,35
1755,5
1756,1
1757,12
1758,15
1759,13
1760,26
1761,16
1762,0
1763,23
1764,0
1765,34
1766,26
1767,24
1768,6
1769,7
1770,9
1771,1
1772,21
1773,2
1774,19
1775,26
1776,7
1777,15
1778,20
1779,10
1780,6
1781,4
1782,10
1783,11
1784,6
1785,3
1786,19
1787,10
1788,5
1789,23
1790,1
1791,10
1792,11
1793,1
1794,2
1795,17
1796,21
1797,11
1798,3
1799,0
1800,29
1801,2
1802,10
1803,24
1804,23
1805,21
1806,28
1807,9
1808,3
1809,3
1810,26
1811,12
1812,9
1813,13
1814,26
1815,15
1816,4
1817,2
1818,21
1819,1
1820,1
1821,18
1822,6
1823,18
1824,0
1825,20
1826,4
1827,9
1828,21
1829,4
1830,15
1831,23
1832,0
1833,26
1834,0
1835,16
1836,24
1837,5
1838,4
1839,2
1840,7
1841,22
1842,26
1843,27
1844,3
1845,2
1846,1
1847,6
1848,10
1849,23
1850,2
1851,26
1852,4
1853,1
1854,21
1855,12
1856,10
1857,0
1858,7
1859,32
1860,10
1861,2
1862,11
1863,19
1864,1
1865,1
1866,5
1867,3
1868,14
1869,14
1870,16
1871,13
1872,21
1873,16
1874,7
1875,29
1876,26
1877,0
1878,14
1879,2
1880,15
1881,6
1882,5
1883,10
1884,1
1885,20
1886,2
1887,3
1888,11
1889,15
1890,0
